iter	Passed	Remaining
659	9045	4659
660	9058	4645
661	9071	4631
662	9084	4617
663	9096	4603
664	9108	4588
665	9121	4574
666	9134	4560
667	9147	4546
668	9158	4531
669	9171	4517
670	9184	4503
671	9198	4489
672	9212	4476
673	9224	4461
674	9237	4447
675	9250	4433
676	9262	4419
677	9274	4404
678	9286	4390
679	9298	4375
680	9311	4361
681	9323	4347
682	9334	4332
683	9347	4318
684	9359	4304
685	9372	4289
686	9385	4275
687	9398	4262
688	9411	4248
689	9426	4234
690	9439	4221
691	9453	4207
692	9465	4193
693	9477	4178
694	9490	4164
695	9502	4150
696	9515	4136
697	9527	4122
698	9539	4107
699	9552	4093
700	9564	4079
701	9577	4065
702	9590	4051
703	9603	4037
704	9618	4024
705	9632	4011
706	9645	3997
707	9659	3983
708	9671	3969
709	9683	3955
710	9695	3941
711	9708	3927
712	9721	3913
713	9735	3899
714	9748	3885
715	9761	3871
716	9773	3857
717	9786	3843
718	9799	3830
719	9813	3816
720	9826	3802
721	9842	3789
722	9855	3775
723	9868	3761
724	9880	3747
725	9893	3734
726	9908	3720
727	9922	3707
728	9937	3694
729	9952	3680
730	9967	3667
731	9979	3653
732	9991	3639
733	10004	3625
734	10017	3611
735	10028	3597
736	10042	3583
737	10054	3569
738	10067	3555
739	10079	3541
740	10091	3527
741	10104	3513
742	10117	3499
743	10129	3485
744	10143	3471
745	10155	3457
746	10168	3444
747	10180	3429
748	10194	3416
749	10207	3402
750	10218	3388
751	10231	3374
752	10246	3361
753	10258	3347
754	10271	3333
755	10284	3319
756	10297	3305
757	10309	3291
758	10321	3277
759	10334	3263
760	10349	3250
761	10361	3236
762	10373	3222
763	10385	3208
764	10398	3194
765	10413	3181
766	10429	3168
767	10445	3155
768	10463	3143
769	10476	3129
770	10488	3115
771	10500	3101
772	10513	3087
773	10524	3073
774	10536	3059
775	10549	3045
776	10563	3031
777	10576	3018
778	10589	3004
779	10601	2990
780	10613	2976
781	10625	2962
782	10638	2948
783	10652	2934
784	10703	2931
785	10723	2919
786	10736	2905
787	10749	2891
788	10763	2878
789	10775	2864
790	10787	2850
791	10800	2836
792	10812	2822
793	10823	2808
794	10836	2794
795	10849	2780
796	10864	2767
797	10877	2753
798	10888	2739
799	10901	2725
800	10915	2711
801	10930	2698
802	10944	2685
803	10957	2671
804	10972	2657
805	10985	2644
806	10998	2630
807	11010	2616
808	11024	2602
809	11036	2588
810	11049	2574
811	11065	2561
812	11078	2548
813	11090	2534
814	11102	2520
815	11114	2506
816	11129	2492
817	11143	2479
818	11155	2465
819	11168	2451
820	11180	2437
821	11193	2423
822	11206	2410
823	11217	2395
824	11229	2382
825	11241	2368
826	11254	2354
827	11269	2340
828	11281	2327
829	11296	2313
830	11309	2299
831	11321	2286
832	11333	2272
833	11346	2258
834	11359	2244
835	11372	2231
836	11385	2217
837	11399	2203
838	11411	2189
839	11423	2175
840	11435	2161
841	11448	2148
842	11461	2134
843	11474	2120
844	11487	2107
845	11501	2093
846	11517	2080
847	11530	2066
848	11544	2053
849	11558	2039
850	11572	2026
851	11585	2012
852	11598	1998
853	11611	1985
854	11625	1971
855	11638	1957
856	11652	1944
857	11665	1930
858	11679	1917
859	11692	1903
860	11709	1890
861	11724	1877
862	11737	1863
863	11750	1849
864	11764	1836
865	11778	1822
866	11792	1809
867	11806	1795
868	11818	1781
869	11830	1767
870	11842	1754
871	11857	1740
872	11871	1726
873	11883	1713
874	11896	1699
875	11911	1686
876	11926	1672
877	11938	1658
878	11949	1644
879	11961	1631
880	11974	1617
881	11986	1603
882	11999	1589
883	12011	1576
884	12024	1562
885	12037	1548
886	12049	1535
887	12061	1521
888	12075	1507
889	12088	1494
890	12101	1480
891	12114	1466
892	12128	1453
893	12142	1439
894	12155	1426
895	12169	1412
896	12183	1399
897	12195	1385
898	12208	1371
899	12221	1357
900	12235	1344
901	12248	1330
902	12263	1317
903	12277	1303
904	12292	1290
905	12308	1277
906	12322	1263
907	12336	1249
908	12354	1236
909	12369	1223
910	12384	1209
911	12399	1196
912	12414	1183
913	12429	1169
914	12445	1156
915	12463	1142
916	12481	1129
917	12505	1117
918	12523	1103
919	12542	1090
920	12612	1081
921	12644	1069
922	12663	1056
923	12682	1043
924	12702	1029
925	12722	1016
926	12744	1003
927	12765	990
928	12788	977
929	12808	964
930	12831	950
931	12850	937
932	12870	924
933	12890	910
934	12916	897
935	12936	884
936	12956	871
937	12975	857
938	12997	844
939	13017	830
940	13033	817
941	13049	803
942	13065	789
943	13084	776
944	13101	762
945	13118	748
946	13135	735
947	13150	721
948	13164	707
949	13181	693
950	13195	679
951	13208	665
952	13225	652
953	13239	638
954	13253	624
955	13266	610
956	13280	596
957	13292	582
958	13306	568
959	13318	554
960	13333	541
961	13345	527
962	13357	513
963	13372	499
964	13387	485
965	13402	471
966	13416	457
967	13431	444
968	13446	430
969	13460	416
970	13477	402
971	13492	388
972	13506	374
973	13519	360
974	13533	347
975	13545	333
976	13559	319
977	13572	305
978	13586	291
979	13599	277
980	13614	263
981	13627	249
982	13641	235
983	13654	222
984	13668	208
985	13681	194
986	13695	180
987	13709	166
988	13721	152
989	13734	138
990	13748	124
991	13762	110
992	13774	97
993	13787	83
994	13803	69
995	13819	55
996	13831	41
997	13845	27
998	13860	13
999	13873	0
